exchange,tradingsymbol,quantity,transaction_type,product,order_type,price,validity
NFO,BAJFINANCE26JUN1000CE,750,SELL,NRML,LIMIT,0,DAY
NFO,TATACONSUM26JUN1250CE,550,SELL,NRML,LIMIT,0,DAY
NFO,HAVELLS26JUN1250CE,500,SELL,NRML,LIMIT,0,DAY
NFO,UNITDSPR26JUN1375CE,800,SELL,NRML,LIMIT,0,DAY
NFO,PFC26JUN475CE,1300,SELL,NRML,LIMIT,0,DAY
NFO,ETERNAL26JUN285CE,2425,SELL,NRML,LIMIT,0,DAY
NFO,PGEL26JUN540CE,950,SELL,NRML,LIMIT,0,DAY
NFO,PFC26JUN400PE,1300,SELL,NRML,LIMIT,0,DAY
NFO,NTPC26JUN300PE,1500,SELL,NRML,LIMIT,0,DAY
