YearMonth,pct_change_PFC,pct_change_TATACONSUM
2024-06,-5.475448168355424,0.8778380365842331
2024-07,10.131931560502982,3.6402569593147804
2024-08,-9.284043051006085,2.650782486372427
2024-09,1.0935726813164237,3.7771401653034165
2024-10,-7.1435860802122715,-17.25745883712294
2024-11,0.9121881525442355,0.15460575532393328
2024-12,9.834458723589634,-7.409620555721541
2025-01,-16.588993554784327,4.055071528450038
2025-02,-13.385639562529716,-0.3824684721934979
2025-03,4.227285204501774,-1.0169139773788638
2025-04,5.54385040821701,15.095922004402995
2025-05,1.459762944479115,2.623189725840236
2025-06,5.115592720118034,-2.4673826218159167
2025-07,-0.8773982218062693,-0.30030030030031574
2025-08,-4.4848341791573265,-4.0708287696239465
